airline,city,delay
Southwest Airlines Co.,Indianapolis,8.461797975788848
Delta Air Lines Inc.,Indianapolis,7.152322404371585
Atlantic Southeast Airlines,Indianapolis,10.160621761658032
Hawaiian Airlines Inc.,Indianapolis,0.0
American Eagle Airlines Inc.,Indianapolis,7.193904361534419
Virgin America,Indianapolis,0.0
United Air Lines Inc.,Cleveland,9.44880915558305
American Airlines Inc.,Cleveland,7.477941176470588
US Airways Inc.,Cleveland,-0.2535675082327113
Frontier Airlines Inc.,Cleveland,18.182244556113904
JetBlue Airways,Cleveland,3.627388535031847
Skywest Airlines Inc.,Cleveland,10.41703056768559
Alaska Airlines Inc.,Cleveland,0.0
Spirit Air Lines,Cleveland,13.455315145813735
Southwest Airlines Co.,Cleveland,6.529237094563728
Delta Air Lines Inc.,Cleveland,4.290917068889864
Atlantic Southeast Airlines,Cleveland,6.3291987596278885
Hawaiian Airlines Inc.,Cleveland,0.0
American Eagle Airlines Inc.,Cleveland,11.704255319148936
Virgin America,Cleveland,0.0
United Air Lines Inc.,Greer,0.0
American Airlines Inc.,Greer,0.0
US Airways Inc.,Greer,0.0
Frontier Airlines Inc.,Greer,0.0
JetBlue Airways,Greer,0.0
Skywest Airlines Inc.,Greer,1.5217391304347827
Alaska Airlines Inc.,Greer,0.0
Spirit Air Lines,Greer,0.0
Southwest Airlines Co.,Greer,10.105585309869932
Delta Air Lines Inc.,Greer,5.811715481171548
Atlantic Southeast Airlines,Greer,6.529091527730521
Hawaiian Airlines Inc.,Greer,0.0
American Eagle Airlines Inc.,Greer,8.465665236051501
Virgin America,Greer,0.0
United Air Lines Inc.,Windsor Locks,14.850719424460431
American Airlines Inc.,Windsor Locks,4.56093489148581
US Airways Inc.,Windsor Locks,2.4741379310344827
Frontier Airlines Inc.,Windsor Locks,0.0
JetBlue Airways,Windsor Locks,10.117185045554509
Skywest Airlines Inc.,Windsor Locks,14.514450867052023
Alaska Airlines Inc.,Windsor Locks,0.0
Spirit Air Lines,Windsor Locks,0.0
Southwest Airlines Co.,Windsor Locks,8.317597292724196
Delta Air Lines Inc.,Windsor Locks,4.211253701875617
Atlantic Southeast Airlines,Windsor Locks,8.850284784377543
Hawaiian Airlines Inc.,Windsor Locks,0.0
American Eagle Airlines Inc.,Windsor Locks,12.950520833333334
Virgin America,Windsor Locks,0.0
United Air Lines Inc.,Abilene,0.0
American Airlines Inc.,Abilene,0.0
US Airways Inc.,Abilene,0.0
Frontier Airlines Inc.,Abilene,0.0
JetBlue Airways,Abilene,0.0
Skywest Airlines Inc.,Abilene,0.0
Alaska Airlines Inc.,Abilene,0.0
Spirit Air Lines,Abilene,0.0
Southwest Airlines Co.,Abilene,0.0
Delta Air Lines Inc.,Abilene,0.0
Atlantic Southeast Airlines,Abilene,0.0
Hawaiian Airlines Inc.,Abilene,0.0
American Eagle Airlines Inc.,Abilene,5.783989266547406
Virgin America,Abilene,0.0
United Air Lines Inc.,Richmond,14.76079734219269
American Airlines Inc.,Richmond,11.182316655243318
US Airways Inc.,Richmond,2.350375939849624
Frontier Airlines Inc.,Richmond,0.0
JetBlue Airways,Richmond,4.779489648531536
Skywest Airlines Inc.,Richmond,17.0625
Alaska Airlines Inc.,Richmond,0.0
Spirit Air Lines,Richmond,0.0
Southwest Airlines Co.,Richmond,6.884113584036838
Delta Air Lines Inc.,Richmond,9.568040435458787
Atlantic Southeast Airlines,Richmond,12.935698882572044
Hawaiian Airlines Inc.,Richmond,0.0
American Eagle Airlines Inc.,Richmond,14.77377521613833
Virgin America,Richmond,0.0
United Air Lines Inc.,Bakersfield,0.0
American Airlines Inc.,Bakersfield,0.0
US Airways Inc.,Bakersfield,0.0
Frontier Airlines Inc.,Bakersfield,0.0
JetBlue Airways,Bakersfield,0.0
Skywest Airlines Inc.,Bakersfield,5.823325635103926
Alaska Airlines Inc.,Bakersfield,0.0
Spirit Air Lines,Bakersfield,0.0
Southwest Airlines Co.,Bakersfield,0.0
Delta Air Lines Inc.,Bakersfield,0.0
Atlantic Southeast Airlines,Bakersfield,0.0
Hawaiian Airlines Inc.,Bakersfield,0.0
American Eagle Airlines Inc.,Bakersfield,0.0
Virgin America,Bakersfield,0.0
United Air Lines Inc.,Omaha,15.317857142857143
American Airlines Inc.,Omaha,5.786874593892137
US Airways Inc.,Omaha,1.4927113702623906
Frontier Airlines Inc.,Omaha,7.790613718411552
JetBlue Airways,Omaha,0.0
Skywest Airlines Inc.,Omaha,8.853613053613053
Alaska Airlines Inc.,Omaha,0.0
Spirit Air Lines,Omaha,0.0
Southwest Airlines Co.,Omaha,8.305821524320184
Delta Air Lines Inc.,Omaha,4.195381062355658
Atlantic Southeast Airlines,Omaha,7.831818181818182
Hawaiian Airlines Inc.,Omaha,0.0
American Eagle Airlines Inc.,Omaha,7.758373205741627
Virgin America,Omaha,0.0
United Air Lines Inc.,Redmond,0.0
American Airlines Inc.,Redmond,0.0
US Airways Inc.,Redmond,0.0
Frontier Airlines Inc.,Redmond,0.0
JetBlue Airways,Redmond,0.0
Skywest Airlines Inc.,Redmond,4.088983050847458
Alaska Airlines Inc.,Redmond,0.0
Spirit Air Lines,Redmond,0.0
Southwest Airlines Co.,Redmond,0.0
Delta Air Lines Inc.,Redmond,0.0
Atlantic Southeast Airlines,Redmond,0.0
Hawaiian Airlines Inc.,Redmond,0.0
American Eagle Airlines Inc.,Redmond,0.0
Virgin America,Redmond,0.0
United Air Lines Inc.,Ft. Lauderdale,9.224778761061946
American Airlines Inc.,Ft. Lauderdale,5.373381568926123
US Airways Inc.,Ft. Lauderdale,5.0396361273554255
Frontier Airlines Inc.,Ft. Lauderdale,21.543884892086332
JetBlue Airways,Ft. Lauderdale,14.90538712949397
Skywest Airlines Inc.,Ft. Lauderdale,0.0
Alaska Airlines Inc.,Ft. Lauderdale,7.973053892215569
Spirit Air Lines,Ft. Lauderdale,13.620855990177162
Southwest Airlines Co.,Ft. Lauderdale,9.351053503111974
Delta Air Lines Inc.,Ft. Lauderdale,7.261179828734538
Atlantic Southeast Airlines,Ft. Lauderdale,0.0
Hawaiian Airlines Inc.,Ft. Lauderdale,0.0
American Eagle Airlines Inc.,Ft. Lauderdale,0.0
Virgin America,Ft. Lauderdale,10.089213300892133
United Air Lines Inc.,Cedar Rapids,0.0
American Airlines Inc.,Cedar Rapids,0.0
US Airways Inc.,Cedar Rapids,0.0
Frontier Airlines Inc.,Cedar Rapids,8.554455445544555
JetBlue Airways,Cedar Rapids,0.0
Skywest Airlines Inc.,Cedar Rapids,9.93888615081321
Alaska Airlines Inc.,Cedar Rapids,0.0
Spirit Air Lines,Cedar Rapids,0.0
Southwest Airlines Co.,Cedar Rapids,0.0
Delta Air Lines Inc.,Cedar Rapids,0.0
Atlantic Southeast Airlines,Cedar Rapids,8.018907563025211
