United Air Lines Inc.,American Airlines Inc.,US Airways Inc.,Frontier Airlines Inc.,JetBlue Airways,Skywest Airlines Inc.,Alaska Airlines Inc.,Spirit Air Lines,Southwest Airlines Co.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,Virgin America
,,,,,7.496514965149651,,,,,,,,
,,,4.5,,0.6786355475763016,,,,,,,,
9.925049309664693,,,6.514150943396227,,5.387553041018387,,,,2.7426645519429025,6.833589349718382,,6.429777777777778,
13.305077262693157,7.793526658294326,6.149469126894135,6.052791878172589,7.516721871994871,12.524199045671438,1.027190332326284,,7.341569451489023,9.38633963149865,7.661065427243475,,22.021538461538462,6.3618421052631575
8.55688622754491,5.865610328638498,4.10091743119266,,,9.711208151382824,-0.8318318318318318,,8.362695810564663,4.56091030789826,8.918053777208707,,15.154639175257731,
1.3333333333333333,-1.2907801418439717,2.015625,,11.418037436188316,15.161921708185053,-1.9230769230769231,,8.329506802721088,5.0535415504740655,10.516129032258064,,10.670781893004115,
,,,22.333333333333332,,6.464970313825276,,,,,,,,
,,,,,8.89280245022971,,,,,,,,
10.41523118766999,6.46800731261426,2.393835616438356,11.709986320109438,,14.817535545023697,,,8.461797975788848,7.152322404371585,10.160621761658032,,7.193904361534419,
9.44880915558305,7.477941176470588,-0.2535675082327113,18.182244556113904,3.627388535031847,10.41703056768559,,13.455315145813735,6.529237094563728,4.290917068889864,6.3291987596278885,,11.704255319148936,
,,,,,1.5217391304347827,,,10.105585309869932,5.811715481171548,6.529091527730521,,8.465665236051501,
14.850719424460431,4.56093489148581,2.4741379310344827,,10.117185045554509,14.514450867052023,,,8.317597292724196,4.211253701875617,8.850284784377543,,12.950520833333334,
,,,,,,,,,,,,5.783989266547406,
14.76079734219269,11.182316655243318,2.350375939849624,,4.779489648531536,17.0625,,,6.884113584036838,9.568040435458787,12.935698882572044,,14.77377521613833,
,,,,,5.823325635103926,,,,,,,,
15.317857142857143,5.786874593892137,1.4927113702623906,7.790613718411552,,8.853613053613053,,,8.305821524320184,4.195381062355658,7.831818181818182,,7.758373205741627,
,,,,,4.088983050847458,,,,,,,,
9.224778761061946,5.373381568926123,5.0396361273554255,21.543884892086332,14.90538712949397,,7.973053892215569,13.620855990177162,9.351053503111974,7.261179828734538,,,,10.089213300892133
,,,8.554455445544555,,9.93888615081321,,,,,8.018907563025211,,11.103795507358637,
10.294900605012964,7.26192232055064,3.871794871794872,18.927165354330707,15.874078171091446,,7.089820359281437,16.307990690457718,10.389135687008027,8.399652140303411,,,,
,0.44280442804428044,-0.6107594936708861,,6.415713196033562,12.483050847457626,,,,5.2578671328671325,6.459919028340081,,10.061739943872778,
10.801980198019802,2.0779220779220777,6.720779220779221,,5.380952380952381,,,,8.63717277486911,9.71801140994295,6.639004149377594,,8.130820399113082,
,,,,,,,,,,4.976234003656307,,12.842857142857143,
,,,,,9.97012987012987,,,,-3.25,5.053449951409135,,,
,-7.055555555555555,,,,8.488019169329073,,,,3.389925373134328,9.824172072379652,,15.450023463162834,
,-0.1276595744680851,1.0,10.924812030075188,,26.333333333333332,,,,5.380750925436277,12.00733418367347,,13.026248941574936,
18.691311947843342,8.261796904492261,5.502477700693756,,11.102473498233216,299.5,2.852986217457887,,13.21781990521327,10.645824929407018,9.634823734612418,,16.555248618784532,7.33719646799117
14.756121449559256,5.419902912621359,3.792008757525999,21.315217391304348,17.659132281553397,9.157894736842104,,6.9506578947368425,12.673705179282868,11.23719533733663,14.671328671328672,,,
6.802132196162047,6.191119005328597,3.747088186356073,14.029082774049217,14.798023314749113,21.78723404255319,,14.757090576395242,8.60852158993423,4.840785169029444,7.584905660377358,,,
,1.060200668896321,8.552542372881357,,5.783646888567294,7.721644826028016,-1.736455463728191,9.66435331230284,11.03537287871711,2.32208922742111,,2.9400260756192957,,
9.127272727272727,2.5747422680412373,4.755671902268761,,6.88422131147541,1.864864864864865,,,8.35706949674769,6.229395604395604,11.076171875,,,
3.317780580075662,9.123609394313968,2.3932980599647267,,18.714285714285715,11.247246486897076,,,8.09085020242915,1.0624327233584498,,,,
9.501336898395722,4.052759987801159,3.2275474956822108,,4.2690735694822886,10.19098712446352,,,6.900267348599326,6.975007181844298,8.454683929931456,,13.646853146853147,
14.126470588235295,8.20646221248631,2.1875,,15.586715867158672,4.893832463945996,-6.709580838323354,,10.692677959825975,5.347334410339257,5.894865525672372,,13.471615720524017,
13.862921348314607,13.033391842193247,7.193072118114707,20.516608824987607,,13.160220994475138,,,,11.191237418590882,,,7.948536445379759,
12.615981119352664,9.339141104294479,5.776470588235294,,3.949826989619377,156.0,7.36231884057971,19.063760806916427,14.321242864184967,8.876310919185688,7.18475073313783,,17.8574144486692,
15.700216037615961,6.596647789028087,6.92501692620176,22.988276670574443,15.91921726041144,4.63265306122449,,15.95458440445587,16.872353297035694,14.722837951301427,15.94412807564199,,13.868471953578336,11.440721649484535
10.4,6.061814993423937,,,,8.420523138832998,,,9.137413962635202,4.441233140655106,5.455306427503737,,12.849166062364032,113.0
,12.555555555555555,,,,11.828817733990148,,,8.673771204871683,5.0576923076923075,8.629971590909092,,14.58351409978308,
10.750448028673835,5.975648916242975,5.935364727608495,18.362815884476536,15.176151761517616,9.067256637168141,0.9486404833836858,15.884135472370767,8.139505316689783,7.79012702078522,5.551779935275081,,7.2,
8.598290598290598,5.878787878787879,,16.03846153846154,,9.968786578228638,,,7.498958694897605,5.169241101410343,10.459506031016657,,13.814520139234212,
,,,,,5.887981330221703,,,,3.6524663677130045,6.1418826739427015,,,
,20.649350649350648,,,,,,,10.0199370409234,5.286284953395473,6.217855137563166,,8.39929328621908,
21.14018691588785,11.696446700507614,2.4583333333333335,9.03305785123967,,10.767873723305478,,,9.57204455623428,6.39469157041042,9.882562277580071,,10.916201117318435,
,,,9.699029126213592,,25.78082191780822,,,,4.326530612244898,10.908003300330034,,15.600950118764846,
,,,,,,,,6.692086330935251,2.240990990990991,10.194244604316546,,,
,,,,15.895325203252032,21.358974358974358,,,,6.2674976030680725,14.097724729578516,,11.001751313485114,
14.070631970260223,8.741455665736016,7.61026003972512,12.873873873873874,12.608380338436744,20.0225988700565,,,12.192045454545454,6.287792642140468,12.122295673076923,,10.947826086956521,
,,,,,5.956185567010309,,,,2.126418152350081,4.298498845265589,,4.737489745693191,
,,,,,3.6666666666666665,,,,2.9123376623376624,9.958977091102824,,,
